b_type,b_id,pga,gm,status,max_idr,T1,max_acc_x,max_acc_z,max_bs_x,max_bs_z,total_weight,n_floors,floor_h,max_resid_x,max_resid_z,has_abs_accel,has_energy,has_residual,energy_ke_final,energy_win_final
C1H,2X5JQ679DG,0.4,0008_CHICHI_CHY046-E,Success,0.00975110564682733,0.6198536771701597,1243.3530199319337,1539.4615738894568,237738.140625,222262.953125,377462.31102117646,8,333.9509803921569,2.158333384480918,0.15474522440713664,True,True,True,21244.025390625,-13663931.0
C1H,2X5JQ679DG,0.4,0009_CHICHI_TCU029-E,Success,0.01054658212204594,0.6199065808885793,1324.7740104761472,1232.1717504315604,210724.5625,249284.671875,377462.31102117646,8,333.9509803921569,0.7815716036754844,1.9673394227502674,True,True,True,1639.332275390625,-11011680.0
C1H,2X5JQ679DG,0.5,0001_CHICHI_TCU049_E,Success,0.011369172318193914,0.619588826695281,1018.9759781417188,1394.5018932047938,177512.8125,261511.5,377462.31102117646,8,333.9509803921569,0.7353965773556146,1.2146270178620244,True,True,True,1047.1114501953125,-8954201.0
C1H,2X5JQ679DG,0.5,0002_CHICHI_TCU051_E,Success,0.014152882256173432,0.619588826695281,1562.5935330456361,1835.1851142696012,258917.640625,290680.40625,377462.31102117646,8,333.9509803921569,0.4295895224153758,0.48018419265084245,True,True,True,1716.5380859375,-25823874.0
C1H,2X5JQ679DG,0.5,0003_0331Hualian_TCU095_E,Success,0.007767542873459452,0.619588826695281,1373.1690407750068,1164.7555178345006,197105.34375,223500.890625,377462.31102117646,8,333.9509803921569,0.029015991838088295,0.03826541437689695,True,True,True,1653.5859375,-5377370.0
C1H,2X5JQ679DG,0.5,0005_0206Meinong_CHY056_E,Success,0.019035839762436918,0.6198447525792847,1546.0676982230452,1314.2612021402301,243537.9375,235129.25,377462.31102117646,8,333.9509803921569,1.601433348945615,2.275029411317956,True,True,True,80.01854705810547,-20815358.0
C1H,2X5JQ679DG,0.5,0007_0206Meinong_CHY067_E,Success,0.007690444588353074,0.6199065808885793,1200.7229968473905,1032.2174263245786,218455.296875,186251.359375,377462.31102117646,8,333.9509803921569,0.42751793734443827,0.14731555456728798,True,True,True,753.669921875,-5059718.5
C1H,2X5JQ679DG,0.5,0008_CHICHI_CHY046-E,Success,0.01389801953711527,0.6199065808885793,1575.3766839045395,1890.7524879451369,255029.625,280922.78125,377462.31102117646,8,333.9509803921569,0.8064927935412552,0.5687983124143078,True,True,True,1145.68994140625,-23726322.0
C1H,2X5JQ679DG,0.5,0009_CHICHI_TCU029-E,Success,0.013216753157178567,0.6198150726209779,1611.4708447152707,1742.5956922075613,252925.375,265401.40625,377462.31102117646,8,333.9509803921569,0.1378610891075342,2.679541754972916,True,True,True,179.84429931640625,-14154503.0
C1H,2X5JQ679DG,0.6,0001_CHICHI_TCU049_E,Success,0.012683207453874816,0.6197973194267208,1133.6906374190812,1540.9820363930135,200110.640625,272659.0,377462.31102117646,8,333.9509803921569,0.8813192854051808,2.5373455949677273,True,True,True,11816.5869140625,-12078081.0
